[1783778128.549852] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"id": null, "method": "mining.notify", "params": ["2357635", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936378e002003d22bd9f7fabe6d6d01a48489c4239828ec7b323d57fde1392e7025856eab46dd2f022a85f28756d91000000000000000", "ffffffff03f1e9c1120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed0d168e3752f2389b6d1120d9c686b0dc523c78848f2a02217edf5ae02778ed9100000000000000002b6a2952534b424c4f434b3a2613626added24eff7c58ceec28b8d295739ba5ca3cbdca8c53f890e0089f39b00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "6a0c8108a51e9237f20865882614b114ae85079ca3fa2c1fbaadd7b1327a6717", "dcecf82e26586c1024ac47e78d2b7f743a8c3ed941aae028af203014c7169d13", "b539a9aa139543bdf1168691fc028129aa5f3827ac7a9b5dce39cfdf3df35d16", "c3a115465fe8efea03615555d3bb252a616fe7a3edda0073bcdb7400bdbd23ee", "a724a0460e469cc7eb9938c701a1bfc73baab5c69655566016e4e7cd705239d0", "8108b44c22cc70386f4db51ee2a410508fb79ae843d3c46e6620bfd7f78f09c4", "c8e73f9641766459eca833c72d3d8febe4f73542a3d0793583276c036ee5d25e"], "20000000", "17021a42", "6a524b50", false]}
[1783778128.550591] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:31986 | {"id": null, "method": "mining.notify", "params": ["2327577", "1a061f7867496e4a3e18ce3a9e08295a191b046b00000e950000000000000000", "01000000010000000000000000000000000000000000000000000000000000000000000000ffffffff5703869c0e1a2f706f6f6c696e2e636f6d2f66702f3936378e013302d22bdc36fabe6d6d01a48489c4239828ec7b323d57fde1392e7025856eab46dd2f022a85f28756d91000000000000000", "ffffffff03f1e9c1120000000017a9141366dca425687186b9b54e27e4ed48163b5beb80870000000000000000266a24aa21a9ed0d168e3752f2389b6d1120d9c686b0dc523c78848f2a02217edf5ae02778ed9100000000000000002b6a2952534b424c4f434b3a2613626added24eff7c58ceec28b8d295739ba5ca3cbdca8c53f890e0089f39b00000000", ["210f2e0f25137fc1ee72f9d5b0feef3acb6dd59d0ba18691de404739bbda5234", "427dcfefc8662f9ebd6fa9d8a7e07e01d40f80b57aca66c06765ea19460cb979", "07adb1c1a68d901bc36f0ca5bed60fb0082098ef67ce700f275133277a6a1623", "096ffde67ba1c5df17150948c646c216d4ad90c15793ae3ddee54353de0cf510", "a869e02801a8f91fc333c4c43f79939e0d4b0284e787b03de02614503daddf15", "6a0c8108a51e9237f20865882614b114ae85079ca3fa2c1fbaadd7b1327a6717", "dcecf82e26586c1024ac47e78d2b7f743a8c3ed941aae028af203014c7169d13", "b539a9aa139543bdf1168691fc028129aa5f3827ac7a9b5dce39cfdf3df35d16", "c3a115465fe8efea03615555d3bb252a616fe7a3edda0073bcdb7400bdbd23ee", "a724a0460e469cc7eb9938c701a1bfc73baab5c69655566016e4e7cd705239d0", "8108b44c22cc70386f4db51ee2a410508fb79ae843d3c46e6620bfd7f78f09c4", "c8e73f9641766459eca833c72d3d8febe4f73542a3d0793583276c036ee5d25e"], "20000000", "17021a42", "6a524b50", false]}
[1783778130.15091] MINER<->FX | 123.88.25.139:2639 -> 172.31.12.58:10510 | {"params": ["btc88708200.S21-bb1", "2327577", "c227000000000000", "6a524b50", "7ce0aec2", "00022000"], "id": 121462, "method": "mining.submit"}
[1783778130.151015] FX<->MAIN_POOL | 172.31.11.58:31986 -> 172.65.246.174:700 | {"id": 121462, "method": "mining.submit", "params": ["btc88708200.S21-bb1", "2327577", "c227000000000000", "6a524b50", "7ce0aec2", "00022000"]}
[1783778130.153166] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:31986 | {"error": null, "id": 121462, "result": true}
[1783778130.153277] MINER<->FX | 172.31.12.58:10510 -> 123.88.25.139:2639 | {"error": null, "id": 121462, "result": true}
[1783778141.728046] MINER<->FX | 123.88.25.139:2461 -> 172.31.11.58:10510 | {"params": ["btc88708200.S21-04", "2242060", "5171000000000000", "6a524b50", "4afa9e94", "00068000"], "id": 9772, "method": "mining.submit"}
[1783778141.728163] FX<->MAIN_POOL | 172.31.11.58:40046 -> 172.65.246.174:700 | {"id": 9772, "method": "mining.submit", "params": ["btc88708200.S21-04", "2242060", "5171000000000000", "6a524b50", "4afa9e94", "00068000"]}
[1783778141.730224] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40046 | {"error": null, "id": 9772, "result": true}
[1783778141.730299] MINER<->FX | 172.31.11.58:10510 -> 123.88.25.139:2461 | {"error": null, "id": 9772, "result": true}
[1783778158.590085] FX<->MAIN_POOL | 172.65.246.174:700 -> 172.31.11.58:40032 | {"id": null, "method": "mining.set_difficulty", "params": [1048576]}
