[1783864444.057887] SYN | 172.31.11.58:58468 -> 172.65.216.67:5500
[1783864444.058734] SYN | 172.65.216.67:5500 -> 172.31.11.58:58468
[1783864461.438118] SYN | 172.31.11.58:28242 -> 172.65.216.67:5500
[1783864461.438934] SYN | 172.65.216.67:5500 -> 172.31.11.58:28242
[1783864466.097443] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:58468
[1783864476.097893] FIN/RST (FA) | 172.31.11.58:58468 -> 172.65.216.67:5500
[1783864486.095462] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:28242
[1783864496.095714] FIN/RST (FA) | 172.31.11.58:28242 -> 172.65.216.67:5500
[1783865486.035323] SYN | 172.31.11.58:42884 -> 172.65.216.67:5500
[1783865486.036071] SYN | 172.65.216.67:5500 -> 172.31.11.58:42884
[1783865506.085217] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:42884
[1783865516.086394] FIN/RST (FA) | 172.31.11.58:42884 -> 172.65.216.67:5500
[1783865604.882927] SYN | 172.31.11.58:48462 -> 172.65.216.67:5500
[1783865604.883655] SYN | 172.65.216.67:5500 -> 172.31.11.58:48462
[1783865626.095719] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:48462
[1783865636.096363] FIN/RST (FA) | 172.31.11.58:48462 -> 172.65.216.67:5500
[1783866981.705726] SYN | 172.31.11.58:18256 -> 172.65.216.67:5500
[1783866981.706489] SYN | 172.65.216.67:5500 -> 172.31.11.58:18256
[1783867006.095312] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:18256
[1783867016.095606] FIN/RST (FA) | 172.31.11.58:18256 -> 172.65.216.67:5500
[1783867037.689750] SYN | 172.31.11.58:15554 -> 172.65.216.67:5500
[1783867037.690619] SYN | 172.65.216.67:5500 -> 172.31.11.58:15554
[1783867061.085154] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:15554
[1783867071.085483] FIN/RST (FA) | 172.31.11.58:15554 -> 172.65.216.67:5500
[1783868169.145932] SYN | 172.31.11.58:23136 -> 172.65.216.67:5500
[1783868169.146612] SYN | 172.65.216.67:5500 -> 172.31.11.58:23136
[1783868191.039894] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:23136
[1783868201.040888] FIN/RST (FA) | 172.31.11.58:23136 -> 172.65.216.67:5500
[1783868377.302181] SYN | 172.31.11.58:64948 -> 172.65.216.67:5500
[1783868377.303047] SYN | 172.65.216.67:5500 -> 172.31.11.58:64948
[1783868401.095594] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:64948
[1783868411.095782] FIN/RST (FA) | 172.31.11.58:64948 -> 172.65.216.67:5500
[1783868928.556721] SYN | 172.31.11.58:62240 -> 172.65.216.67:5500
[1783868928.557622] SYN | 172.65.216.67:5500 -> 172.31.11.58:62240
[1783868951.086552] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:62240
[1783868961.086876] FIN/RST (FA) | 172.31.11.58:62240 -> 172.65.216.67:5500
[1783869613.000632] SYN | 172.31.11.58:13920 -> 172.65.216.67:5500
[1783869613.001519] SYN | 172.65.216.67:5500 -> 172.31.11.58:13920
[1783869636.052185] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:13920
[1783869646.053304] FIN/RST (FA) | 172.31.11.58:13920 -> 172.65.216.67:5500
[1783870377.511465] SYN | 172.31.11.58:39392 -> 172.65.216.67:5500
[1783870377.512316] SYN | 172.65.216.67:5500 -> 172.31.11.58:39392
[1783870401.095354] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:39392
[1783870411.096479] FIN/RST (FA) | 172.31.11.58:39392 -> 172.65.216.67:5500
[1783870905.373271] SYN | 172.31.11.58:53626 -> 172.65.216.67:5500
[1783870905.374660] SYN | 172.65.216.67:5500 -> 172.31.11.58:53626
[1783870926.088378] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:53626
